,RID,start,end,Distance,Time
809,64131,"49.4746497609921, 8.49170207977295","49.4833493335863, 8.4955644607544",1710,1414
810,64137,"52.5356465494759, 13.490132689476","52.5357509654272, 13.4899663925171",31,25
811,64144,"49.7843567886819, 8.03880691237282","49.7726220941544, 8.03424600715516",1629,1703
812,64148,"54.3074666209201, 10.1037311553955","54.309657416496, 10.0833892822266",1965,1583
813,64151,"53.6994946034476, 10.1853360235691","53.7078487177223, 10.1880504190922",2735,2199
814,64158,"53.6858857490481, 9.40562725067139","53.6935489367076, 9.393310546875",2046,1654
815,64161,"48.7247954290529, 8.00886154174805","48.7373565306061, 7.98311233520508",2654,2139
816,64163,"50.1314047664667, 8.68312204544964","50.1438858539981, 8.7141997472645",3191,2760
817,64166,"48.389432143253, 9.96537208557129","48.4078958469044, 10.0150680541992",4858,3885
818,64170,"51.9533479506694, 8.67559097707272","51.943001672798, 8.69327545166016",2269,2059
819,64171,"49.6868772003535, 12.1735382080078","49.6323184767542, 12.1434116363525",7608,6144
820,64181,"51.0888637118278, 13.7063884735107","51.0765685749567, 13.6754894256592",3847,3195
821,64189,"48.1871245501294, 10.8266758923128","48.1947427889192, 10.8284568751697",1354,1093
822,64198,"51.3285286205423, 12.3319906066172","51.3050397632718, 12.3524945962708",3720,3027
823,64205,"50.8928768948648, 6.90444803185528","50.9053819136422, 6.90214348258451",1907,1565
824,64210,"51.2786120255984, 7.21806905815356","51.3143712011538, 7.18352354084345",5820,5350
825,64213,"47.9649901060005, 7.95384407043457","47.9814157887628, 7.97558784834109",2891,2397
826,64217,"48.7874562741376, 9.19076632861106","48.7632989981822, 9.10022725991439",8150,7486
827,64218,"52.4368959721313, 13.4542179107666","52.435881747472, 13.4491539001465",596,496
828,64226,"53.8102937380234, 10.0099182128906","53.8123113728978, 10.0097465515137",398,330
829,64231,"50.3986795034129, 8.80725860595703","50.4021102771483, 8.80953446030617",854,736
830,64234,"52.5598904866439, 13.0462646484375","52.5628959874947, 13.0369091033936",1024,830
831,64242,"52.8109722109825, 13.2079696655273","52.8021395433935, 13.2155227661133",2926,2375
832,64247,"51.0517560507697, 13.5580730438232","51.0577903673202, 13.5645639896393",1091,903
833,64248,"47.6281775715279, 7.90637969970703","47.6660882186616, 7.90157318115234",4943,4805
834,64251,"48.0464434741265, 10.4885101318359","48.0434775486923, 10.4685974121094",1559,1485
835,64253,"50.9561608579528, 7.00634411658484","50.9658759676644, 6.99932416479442",1417,1200
836,64262,"50.7572175445491, 12.6330585469259","50.7619818778743, 12.6349296548869",931,907
837,64268,"51.1984607222737, 6.46045063259408","51.1906694204853, 6.48454645626771",2456,2004
838,64269,"50.9359068771598, 6.67714691109723","50.9417674101698, 6.68607330269879",1374,1191
839,64270,"50.2885869362278, 12.3936080303974","50.4339973072381, 12.4963995379221",21820,19298
840,64273,"47.5988800002828, 9.59136321460392","47.5985443287615, 9.57329091688735",2374,1912
841,64278,"50.6257400751982, 12.3041725158691","50.6255099401863, 12.3450708389282",6174,5135
842,64282,"53.4060782152946, 7.43396759033203","53.4050945367716, 7.44235754013062",796,662
843,64285,"48.5869067362771, 13.4801065921783","48.5884463064383, 13.4775853157043",622,518
844,64289,"54.3857924128519, 10.4234504699707","54.4077882932667, 10.4282569885254",3516,2801
845,64300,"53.1765754348765, 9.00132179260254","53.1791663533647, 8.98977756500244",1098,880
846,64307,"49.2452732807909, 6.97116982319585","49.2734695620477, 6.97338172358286",4296,3680
847,64309,"49.2332447764508, 7.04591846413678","49.2333932979798, 7.05115413613385",1557,1309
848,64310,"51.5930004837806, 7.20207708945964","51.5938189289108, 7.20341950331203",101,80
849,64313,"51.131997197362, 6.61788940429688","51.1195157049758, 6.64707183837891",3072,2442
850,64323,"48.729603693356, 9.14562034711708","48.7292696653859, 9.14544868574012",92,73
851,64334,"50.090677322043, 8.68381721586047","50.1058678018887, 8.74245399296342",5615,4583
852,64340,"48.3723016379136, 7.88028717041016","48.3752640241892, 7.88028717041016",404,344
853,64358,"51.538754950688, 7.56200551986694","51.5430789636766, 7.56861448287964",2319,1871
854,64363,"51.35776136617, 12.473068805939","51.3544757855586, 12.4702713632723",464,393
855,64370,"49.6237912687174, 10.8269527976518","49.6375917072809, 10.7850674216752",3581,2997
856,64374,"50.6680117464271, 6.77484989224468","50.5994042166205, 6.6091003397014",16004,13583
857,64380,"48.5403807688684, 9.05925750732422","48.5403712979263, 9.06432151794434",690,615
858,64389,"50.6960651664679, 7.08234071731567","50.6909152074068, 7.09184646606445",1305,1088
859,64396,"52.3849453605231, 9.66314506425988","52.3811772621112, 9.65490531816613",973,830
860,64401,"51.1224114355924, 6.393141746521","51.1224956110931, 6.37172698974609",2326,1886
861,64404,"51.5137257350796, 7.46702957127127","51.5154115715951, 7.46244658759679",488,386
862,64405,"48.3893194552647, 10.7992440462112","48.3837613302355, 10.8210557699204",2411,2155
863,64412,"48.1467037148481, 11.6054677963257","48.153117378713, 11.5924644470215",1473,1185
864,64416,"51.5463617361866, 6.60655975341797","51.5248092122029, 6.68895721435547",6944,5623
865,64417,"51.1672026469395, 6.93615138536188","51.154227595266, 6.92912578495452",2185,1762
866,64420,"51.4974207800457, 7.23342418670654","51.490695182929, 7.22479820251465",1463,1201
867,64423,"51.6268622229104, 6.82720589451492","51.587325010259, 6.84917855076492",5633,4547
868,64424,"51.5173941066264, 7.06266403198242","51.5075154376487, 7.06000328063965",1984,1661
869,64425,"51.9866905752746, 8.5158634185791","51.9876717477996, 8.52727890014649",1065,1052
870,64426,"54.6964724396819, 9.24842834472656","54.7055940829298, 9.25941467285156",1844,1492
871,64432,"52.1158210423258, 11.7641258239746","52.0995952369082, 11.7703056335449",3207,2594
872,64437,"53.5693954113724, 9.99221330203023","53.5722510738767, 10.0012707710266",797,633
873,64444,"50.3352012572654, 11.7107391357422","50.3406897423301, 11.7323684692383",1846,1658
874,64446,"53.5321644323978, 12.6462936401367","53.5002219098293, 12.6656913757324",7305,5961
875,64461,"50.8673655341985, 9.7025033357204","50.8750951037316, 9.67587533525148",2784,2671
876,64467,"48.6266091432639, 10.2494839255814","48.626786806365, 10.2495679684034",17,14
877,64481,"50.9970281544527, 6.91196251020301","51.0013016627063, 6.92977881444676",1843,1527
878,64501,"51.4168935926306, 9.6505499817431","51.4220158570692, 9.67595586553216",2269,2071
879,64513,"49.3220171388843, 9.3600082397461","49.32718129512, 9.35966491699219",699,743
880,64515,"49.2376119549647, 6.99074220683542","49.2293708064565, 7.02506589863333",3392,3051
881,64526,"48.6545510018267, 9.21677503822139","48.6553292041195, 9.21702070525498",200,161
882,64537,"51.2989125266023, 12.396183013916","51.298209828383, 12.399959564209",532,435
883,64539,"48.7368065021613, 11.1847343423869","48.745330790066, 11.2595787027385",6117,4923
884,64548,"51.3260189596567, 12.3458003997803","51.3246155004677, 12.3502635955811",386,306
885,64549,"47.9221229808606, 9.75688934326172","47.9128050298799, 9.77671623229981",2092,1932
886,64556,"52.9932599787448, 9.30266261100769","52.9875933063638, 9.32007551193237",1677,1382
887,64560,"54.0744402074865, 12.102062702179","54.0780336406539, 12.0884799957275",1520,1248
888,64563,"48.7614504333242, 8.2396988866094","48.7581623661054, 8.23874723904737",432,344
889,64565,"51.5489820015813, 7.45293617248535","51.5471997400029, 7.45508193969727",290,236
890,64567,"53.6112729831236, 10.4057693481445","53.6173678213137, 10.4105758666992",1125,962
891,64571,"49.4656162778727, 11.0994815808954","49.4538135331507, 11.0952472686768",1685,1351
892,64572,"52.2403626650915, 7.96127700596117","52.2606350804426, 7.97020339756273",3135,2508
893,64577,"52.5152023450417, 10.8036804199219","52.5139291632297, 10.8270263671875",1795,1465
894,64581,"49.9876627426507, 11.9393062591553","49.9905702175912, 11.9462585449219",1622,1398
895,64587,"47.6187885413486, 8.07079697493464","47.619760495797, 8.07002019908396",385,373
896,64589,"49.3955089800767, 9.07659530639649","49.3942787022592, 9.07208919525147",1309,1066
897,64593,"50.5503010413673, 9.67937886714935","50.5451811150223, 9.66655254364014",1632,1338
898,64596,"49.2799004954716, 7.06772804260254","49.2852755188836, 7.05554008483887",1339,1230
899,64600,"51.0169732227042, 6.90767347790825","51.0248937603508, 6.91877961158753",1502,1219
900,64605,"51.83382176481, 8.3247184753418","51.8488279425321, 8.30145835876465",3001,2454
901,64609,"48.7034104574388, 8.53500366210938","48.6978448217864, 8.5283088684082",1082,1217
